# id   lat         lon           alt   title /other title/, cat
3312   43.7751310   40.3336196  2450  пер. Шапошникова, 2Б
3313   43.7304786   40.3882696  2014  пер. Псеашха /Псеашхо/, н/к
3314   43.7268413   40.4232550  2900  пер. Тимухина, 3А
3315   43.7236769   40.4436447  3150  пер. 75 лет КГБЗ, 1Б
3316   43.7126833   40.4476000  2800  пер. Строителей, 1Б
3317   43.6686833   40.4539000  2402  пер. Аишха-1, н/к
3331   43.8036333   40.1886667  2700  пер. Чугуш Западный, 2Б
3332   43.7991718   40.2315990  2675  пер. Чугуш Восточный /Белоснежка/, 1А
3333   43.7427667   40.4946000  2870  пер. Челипси, 1А
3334   43.7357833   40.4701000  2800  пер. Мраморный, 1Б*
3335   43.7103893   40.4563831  2940  пер. Строителей Ложный /Нефтяник/, 1Б
7342   43.7705520   40.3676865  2750  пер. Синеречинский, 2А
7345   43.7725555   40.3497210     0  пер. Верблюд
7346   43.7997147   40.3798841  2830  пер. Уруштен Ю., 1А-1Б
7347   43.7920973   40.3745610  2780  пер. Кошкарева, 1Б
7348   43.7795205   40.3723171  2700  пер. Дзитаку, 1Б
