# id   lat         lon           alt   title /other title/, cat
 255   39.3649333   72.0132333  4250  пер. Кызылкуль /Кызылкель/, 1А
 260   39.3496670   72.0680000  5050  пер. Минтеке С., 2А
 276   39.3738330   72.0113330  4400  пер. Белый, 2А
 277   39.3766670   72.0348330  4800  пер. Высокий, 2Б
 278   39.3841670   72.0220000  4650  пер. Спортивный, 2А*
 279   39.3905000   72.0163330  4500  пер. Шве-Даван, 1Б*
 280   39.3813330   72.1746670  4158  пер. Кичикбель, н/к
 301   39.3498330   72.0760000  4861  пер. Ортоарык, 2Б
1570   39.6643330   72.2193330  4000  пер. Шиман, 1А
1571   39.6426670   72.2423330  3511  пер. Шиман-Бель, н/к
1572   39.5806670   72.1490000  3916  пер. Булак, 1А
1574   39.6595000   72.2525000  3950  пер. Джангы-Джер, н/к
1576   39.6625000   72.4178330  3192  пер. Бельуток, н/к
1577   39.6573330   72.4060000  3194  пер. Карауток, н/к
2913   39.3683330   72.0438330  5000  пер. Кызылташ С., 3А
2914   39.3613330   72.0570000  5000  пер. Кызылташ Средн., 3А
2915   39.3551670   72.0673330  5000  пер. Кызылташ Ю., 3А
2922   39.3776833   72.4951333  4900  пер. Чакманташ (Ачиксу), 2Б
2929   39.3421333   72.4035000  4950  пер. Кок-Киик, 3А
2946   39.3805000   72.1215000  4230  пер. Улубель, н/к
2977   39.3336167   72.3980833  5100  пер. Сасыктеке В., 3А
