# id   lat         lon           alt   title /other title/, cat
7302   54.0939000   96.0724300  1991  пер. Кусургашева /Орзогайский/, 1А
7303   54.0562000   96.2456100  1995  пер. 7303 /Б.Агул - Ванькина/, 1А
7304   54.0613400   96.3995500  2421  пер. Уфимский, 1Б
7305   54.0654132   96.3675556  2220  пер. Горное Озеро /Восьми, Чатыг-Хем/, 1Б-2А
7306   54.0644000   96.4192200  1943  пер. Монгольский, н/к
7313   54.0295774   96.0641861  1750  пер. Ключевой /Фомкина-2я/, н/к
7613   54.0645377   96.3200071  2206  пер. 7613 /Ванькина-Сигач/, 1А
8445   54.0580900   96.3849699  2555  вер. Ледниковая
8448   54.0014460   96.3906400  2664  вер. Агульская Пила
8543   54.0990221   96.0588520  1900  пер. 8543 /Тоенка - Орзагай/, 1А, зим.1А
8544   54.0724808   96.2359199  2060  пер. Б.Сигач /Сигач - Б.Агул/, 1А, зим.1А-1Б
8548   54.0421848   96.1759499  1820  пер. Агульский /Охотников/, 1А
8549   54.0835645   96.2747848  2652  вер. Геологов
8551   54.0580743   96.1109373  2000  пер. 4-х Медведей /Медвежий, Топографов, Вологодский/, 1А
8553   54.0384843   96.0817676  1840  пер. 8553 /2я Фомкина - Пр.Казыр/, 1А
8556   54.3025583   96.4200954  2122  вер. Додинский Голец
8559   54.0671540   96.4709395  2060  пер. Комсомольский, 1А?
8560   54.0738654   96.4829395  2260  пер. Верхнегутарский /Гутара - Мал.Сигач/, 1А-1Б
8574   54.0958261   96.3814272     0  пер. Олимпийский
8575   54.0715300   96.4363500  2452  вер. 2452 /2446/, 1А
8580   54.0803143   96.3472064  2200  пер. Случайный
8586   54.0946911   96.4418212  2400  пер. Тульский, 1А
8588   54.1771538   96.2948324  2300  пер. Семерых, 1А
8589   54.0602659   96.3751516  2200  пер. П.Когана
8590   54.0862289   96.1086828  1960  пер. Московский, 1А-1Б
8591   54.0747165   96.0761030  2489  вер. Орзагайский Голец /пик Кусургашева, пик Фестивальный/
8592   54.0186742   96.0717639  1650  пер. Родниковый /Пр.Казыр - Кизир/, н/к
8594   54.0815272   96.0387990     0  пер. Гольцовый, 1А-1Б
9333   54.1678872   96.2985102  2324  вер. Мысовая
9334   54.1652759   96.2953305  2260  пер. Мысовой, 1Б
9335   54.1744261   96.2928139  2341  вер. Ак-Даг
9339   54.0420022   96.1390804     0  пер. Вологодский
9340   54.0437043   96.1608305     0  пер. Агульский Зап. /Снежный/, 1А?
9348   54.0884000   96.4911400  2544  вер. 2544
9361   54.0739998   96.4333267  2360  пер. Сигачский
9363   54.1411996   96.4425201     0  пер. 9363 /Сигач - М.Сигач/
9374   54.0685248   96.0901594  1900  пер. 9374, 1А
9381   54.0354929   96.1961540  1960  пер. Весенний
9438   54.0083330   96.2216650  1915  пер. Игонькин Слив, 1А
9439   54.0165340   96.2158000  2188  вер. 2188
9440   54.0129353   96.4071221  2280  пер. 9440, 1А-1Б
9441   54.0085860   96.4057399  2132  пер. Окружной, 1А
9464   54.0066700   96.0794900  1977  пер. А.Хрущева, 1А
9465   54.0310300   96.0352900  1971  пер. Сырой
9599   54.0800333   96.0068667  1869  пер. Око, 1А
